Country,Product,URI,UPC,EAN,ISRC,Track name,Artist name,Composer name,Album name,Quantity,Label,Payable invoice,Invoice currency,Payable EUR,Payable USD
AR,FAM6,spotify:track:4LFyWIPtdQc07c3w08VnSR,612292243876,,USDCH1032009,GOVINDA KRISHNA HARI OM,Trisha Parui,N/A,Transcendental,3,Ariha Audio,0.002143,EUR,0.002,0.003
NZ,A,spotify:track:5oYWah4bOhPy50PjVJqQTS,709586781524,,USDCH1024448,Jai Madhav Madan Murari,Minakshi Majumdar,N/A,Sublime Bhajans Vol - 2,1,Ariha Audio,0.000506,EUR,0.001,0.001
AE,P,spotify:track:4LfPCVGLePtrXPdMzigz8E,711099368321,,INS641200382,Govinda Govinda Gopala,Sachin Limaye,N/A,Best Of Sachin Limaye,1,The Art Of Living,0.003077,EUR,0.003,0.004
TW,A,spotify:track:2csKVpvoy0wYVSdJl4ipvx,711099367201,,USDCH1021191,Dupatta Munh Pe Banh Ke Tu Ghumelu Ilaka,Sameer Singh,N/A,Bluetooth On Kara,1,Shani Movies,0.000288,EUR,0.000,0.000
IN,A,spotify:track:1akKMBLO5uQ6rgjJGg78cN,700621799818,,USDCH1015279,Hu Prabhu Taro Tu Prabhu Maro,Lalit Sodha,N/A,Sathvaro Sacha Devno,21,Rajmudra Productions,0.001436,USD,0.001,0.001
CL,FAM6,spotify:track:4qOpOUL01HYpzskXpJaQIy,711099370171,,INS641201187,Om Namah Shivaya,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,243,The Art Of Living,0.235386,EUR,0.235,0.277
IN,PDS,spotify:track:0bGmGC6u0VH8svOCgg6jxL,711099369281,,INS641200347,Guru Ki Mahima,Chitra Roy,N/A,Best Of Chitra Roy,2,The Art Of Living,0.000975,USD,0.001,0.001
NL,FAM6,spotify:track:3DlNSeX2zzaZNxJdQcZEVz,644824510248,,USDCH1037292,Ganesha Suktam,Swami Purnachaitanya,N/A,Suktanjali,6,The Art of living,0.01535,EUR,0.015,0.018
IN,PDLS12,spotify:track:0PMxXVoewVhxOgR8tshHoG,612292245627,,USDCH1032894,Meri Mohabbat Ko Tum Bhula To Na Doge,Khushbu Mishra,N/A,Wo Bewafa Muh Mod Ke Na Ja,1,Sai Recordds Entertainment,0.000927,USD,0.001,0.001
IN,A,spotify:track:5dEG7Ya73OuIACKVXvpfNw,644824510255,,USDCH1037327,Meri Bas Aankhe Roti Hai,Raj Dilbar,N/A,Bewafai Hits 8,1,Sai Recordds Entertainment,0.000068,USD,0.000,0.000
DE,FAM6,spotify:track:5xWJX9jhYtJ5EgX8P7LMRq,889845948018,,GBLLT1925606,Kelu,"Dopeadelicz, Su Real, Dutty Deedz",N/A,MapulZ,1,Most Wanted Records - A division of Sippy Media LLP,0.002297,EUR,0.002,0.003
IN,A,spotify:track:55K0TbPwAwYAytWgnMQ5Rt,710825994971,,USDCH1025880,Ganesh Aarti,"Dinesh Kumar Dube, Sarrika Singh",N/A,The Best of Aartis,1,Ariha Audio,0.000068,USD,0.000,0.000
MX,DUO,spotify:track:7k8sBiv7zGKyEuvAstXVOd,612292244118,,USDCH1032140,Shiva Aahvaan Mantra,Minakshi Majumdar,N/A,Sublime Bhajans Vol 7,1,Ariha Audio,0.001657,EUR,0.002,0.002
CR,FAM6,spotify:track:5vKNRgRKf4WucFsnLbppRz,612292244040,,USDCH1032099,Devi Kavacham Mantra,Minakshi Mazumdar,N/A,Sublime Bhajans Vol. 4,1,Ariha Audio,0.001673,USD,0.001,0.002
SE,FAM6,spotify:track:52pycvAG8v1RM25OvPdk1u,612292244118,,USDCH1032133,Gaiye Ganapati Jagvandan,Trisha Parui,N/A,Sublime Bhajans Vol 7,1,Ariha Audio,0.003506,EUR,0.004,0.004
TH,FAM6,spotify:track:7kpjW52x2xJfxYLO3nsuJr,630808428951,,USDCH1043944,Fashion Killa,Superdoc,Arbaz Khan,Fashion Killa.wav,1,Beyond Records,0.000814,EUR,0.001,0.001
GB,FAM6,spotify:track:7nRZi7QOR0FoyumzIuiivz,612292244118,,USDCH1032142,Shree Ram Jai Jai Ram Jai Jai Ram,Trisha Parui,N/A,Sublime Bhajans Vol 7,7,Ariha Audio,0.023372,GBP,0.027,0.032
HK,FAM6,spotify:track:0A0aNcQVITgOHABB5wpJsI,709586781524,,USDCH1024449,Radhe Govinda Krishna,Trisha Parui,N/A,Sublime Bhajans Vol - 2,2,Ariha Audio,0.003715,EUR,0.004,0.004
MY,A,spotify:track:5rzayvd6gBbvyGdC7qFqzI,711099369571,,INS641200450,Hari Sundara Nanda,Dr. Manikantam,N/A,Best Of Dr. Manikantam,1,The Art Of Living,0.000093,EUR,0.000,0.000
NZ,PDIB,spotify:track:2FR9sRndvI2raZ07duGEaH,644824510248,,USDCH1037302,Samnyasa Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.004915,EUR,0.005,0.006
IN,A,spotify:track:25xBhEso9vM2r9XgfFsd0t,612292253240,,USDCH1036442,Jaa Bewafa Tujhko Ham,Gul Saxena,N/A,Bewafai Hits 5,1,Sai Recordds Entertainment,0.000068,USD,0.000,0.000
GB,FAM6,spotify:track:3sCsPDeWZrFdctP1c1O1gx,612292246655,,USDCH1033649,Kali Sahasranaam,Minakshi Mazumdar,N/A,Sublime Bhajans Vol - 8,1,Ariha Audio,0.003339,GBP,0.004,0.005
NZ,A,spotify:track:7d3zZ29vzoKrXFAkLbFoSs,711099369281,,INS641200663,Mere Sahib,Chitra Roy,N/A,Best Of Chitra Roy,2,The Art Of Living,0.001012,EUR,0.001,0.001
ZA,FAM6,spotify:track:4okyofYDEy9JSDD8WpCPoF,711099370058,,INS641200067,om namah shivaya,Gayatri Ashokan,N/A,Anahata,16,The Art of living,0.017239,EUR,0.017,0.020
AU,P,spotify:track:3LCel2r3BSNlBTaNl2VBI9,711099369571,,INS641200602,Nanda Nanda,Dr. Manikantam,N/A,Best Of Dr. Manikantam,2,The Art Of Living,0.008345,EUR,0.008,0.010
MY,FAMIB,spotify:track:2FxmjlTrCKpFGb2qb6tCcg,612292253448,,USDCH1036762,Durga Chalisa,Trisha Parui,N/A,Sublime Bhajans Vol - 9,1,Ariha Audio,0.002448,EUR,0.002,0.003
NL,PDIB,spotify:track:7eTyXoMvJztDiLtJPUodXY,711099370171,,INS641200548,Jai Jai Radha Ramana Hari Bol,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,4,The Art Of Living,0.029459,EUR,0.029,0.035
GB,DUO,spotify:track:2VdSu3Mbye5Lgg1Z5QpG0n,709586781524,,USDCH1024447,Aarti Kunj Bihari Ki,Trisha Parui,N/A,Sublime Bhajans Vol - 2,1,Ariha Audio,0.004949,GBP,0.006,0.007
AR,A,spotify:track:4qOpOUL01HYpzskXpJaQIy,711099370171,,INS641201187,Om Namah Shivaya,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,102,The Art Of Living,0.007372,EUR,0.007,0.009
DE,PDS,spotify:track:6vVDXzloxPh5i6LllhvEE6,711099362503,,USDCH1500001,Neray Aah,Mathira,N/A,Neray Aah,1,Beyond Records,0.002106,EUR,0.002,0.002
GB,A,spotify:track:1NRGAsq7kPoRimx0xKVv6J,711099370058,,INS641200062,raja rajeswari,Gayatri Ashokan,N/A,Anahata,1,The Art of living,0.001601,GBP,0.002,0.002
AR,FAM6,spotify:track:47tln8PoDpexvcRxbnAgOJ,711099369632,,INS641200265,Jaya Jaya Krishna Krishna Hare,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,25,The Art Of Living,0.01786,EUR,0.018,0.021
BR,FAM6,spotify:track:6TagK3GjsxrAWlV8eISZrS,612292244101,,USDCH1032130,Shiva Stotram,Arijit Chakraborty,N/A,Sublime Bhajans Vol 6,11,Ariha Audio,0.01307,EUR,0.013,0.015
ES,FAM6,spotify:track:0vGHRBXBIVDpBJo5SnYDpW,644824518206,,INS641202137,Om Namah Shivaya,Kala Ramnath,N/A,Ananta,1,The Art Of Living,0.002183,EUR,0.002,0.003
GB,FAM6,spotify:track:4yJdYj6nPuMOavXtcG49eK,700621799832,,USDCH1015333,Jay Aadha Sakti,Sheela Shethiya,N/A,Stuti Aarti Thal Akhand Garba,1,Rajmudra Productions,0.003339,GBP,0.004,0.005
PA,P,spotify:track:62wDq4t8xD98Ljxu3YayOw,644824510248,,USDCH1037291,Introduction,Swami Purnachaitanya,N/A,Suktanjali,3,The Art of living,0.011036,USD,0.009,0.011
IN,PDLS12,spotify:track:3yMJeTUHwFBm23jSOSEFey,644824516455,,USDCH1039856,Main Zalmi Hoon,Rahat Fateh Ali Khan,N/A,Main Zalmi,1,Beyond Records,0.000927,USD,0.001,0.001
IN,PDLS12,spotify:track:2MDf3F10nsfU1aKJnBA2zo,889845948018,,USDCH1043570,Rolling Rolling,"Dopeadelicz, Bluesanova",N/A,MapulZ,1,Most Wanted Records - A division of Sippy Media LLP,0.000927,USD,0.001,0.001
GB,P,spotify:track:3mBmmZf048Gv6WheetGKL0,711099370171,,INS641200544,Sundara Kanha,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,39,The Art Of Living,0.221458,GBP,0.260,0.306
MY,PDLS12,spotify:track:1qWBWMCMNd7wIXaknViBvc,711099369373,,INS641200535,Achutam Keshavam,Vikram Hazra,N/A,Amrit,6,The Art of living,0.008344,EUR,0.008,0.010
MX,A,spotify:track:5cvwWXSNPdOOxWlsilA4ZG,612292246655,,USDCH1033651,Maha Mritunjaya Mantra,Trisha Parui,N/A,Sublime Bhajans Vol - 8,1,Ariha Audio,0.000153,EUR,0.000,0.000
UY,A,spotify:track:1qWBWMCMNd7wIXaknViBvc,711099369373,,INS641200535,Achutam Keshavam,Vikram Hazra,N/A,Amrit,7,The Art of living,0.000721,USD,0.001,0.001
AU,DUO,spotify:track:19ZFh6XKmACdmufaHDhhrU,644824510248,,USDCH1037304,Medha Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.003379,EUR,0.003,0.004
CH,P,spotify:track:1tWuDw1FD6dWpEboNdv45r,630808420429,,USDCH1041582,Akhanda Mandalakaram,Sakshi Tiwari,Mohit Jaitly,Mesmerizing Bhajans - Vol.1,1,Mobile Media,0.006633,EUR,0.007,0.008
US,PDS,spotify:track:2SjvGvVCv7SZrIdcIt5ifV,711099370058,,INS641200065,krishna govinda,Gayatri Ashokan,N/A,Anahata,1,The Art of living,0.002167,USD,0.002,0.002
PK,P,spotify:track:74vpZhnOlLVbJl5ZGmDVld,644824516424,,USDCH1039853,Choothi,"Waqar Ex, Bilal Saeed",N/A,Choothi,59,Beyond Records,0.077499,EUR,0.077,0.091
MX,FAM6,spotify:track:2AHpvnMUFvItPsHz9MAT45,612292244132,,USDCH1032146,Solar Plexus Meditation 320 Hz,Sourabh Kumar,N/A,Meditation for soul,10,Ariha Audio,0.008467,EUR,0.008,0.010
