Sr. No.,Track Name,Album Name,Artist Name,ISRC,UPC,Language,Label,Ad-Supported Streams,Subscription Streams,Jio-Trial Streams,Total Streams
192,Shiva Aahvaan Mantra,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032140,612292244118,hindi,Ariha Audio,0,3,0,3
193,Aarti Kunj Bihari Ki,Sublime Bhajans Vol - 2,Trisha Parui,USDCH1024447,709586781524,hindi,Ariha Audio,0,0,16,16
194,Hey Dukh Bhanjan Maruti Nandan,Sublime Bhajans Vol - 9,Gourab Shome,USDCH1036766,612292253448,hindi,Ariha Audio,0,0,13,13
195,Aayo Kaha Se Ghanshyam,Sublime Bhajans,Trisha Parui,USDCH1021715,711099368024,hindi,Ariha Audio,0,0,4,4
196,Hare Rama Hare Krishna,Sublime Bhajans,Madhura Banerjee,USDCH1021719,711099368024,hindi,Ariha Audio,0,0,5,5
197,Yamuna Ka Tat suna,Sublime Bhajans Vol - 10,Swati Prasad,USDCH1036776,612292253615,hindi,Ariha Audio,0,0,1,1
198,Gopal Sahasranaam,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033644,612292246655,hindi,Ariha Audio,0,0,3,3
199,Asatoma Sadgamaya,Sublime Bhajans Vol - 3,Trisha Parui,USDCH1025832,710825994407,hindi,Ariha Audio,0,0,2,2
200,Durga Chalisa,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036762,612292253448,hindi,Ariha Audio,0,0,6,6
201,Raaz,Raaz,Bohemia,USDCH1043320,630808425981,punjabi,Desi Hip Hop Publishing Company,0,0,187,187
202,Jaa Tose Nahi Bolu Kanhaiya,Sublime Bhajans,Arijit Chakraborty,USDCH1021720,711099368024,hindi,Ariha Audio,0,0,5,5
203,Thinking About You,Thinking About You,"Sofia, Bohemia",USDCH1031994,612292243746,english,Kali Denali Music,0,0,45,45
204,Meri Maa,Yeda Kaun?,Yeda Anna,USDCH1043522,630808426858,hindi,"Most Wanted Records, a division of Sippy Media LLP",0,0,1,1
205,Maya Tera Kanha,Sublime Bhajans Vol - 10,"Swati Prasad, Rupali Zain",USDCH1036775,612292253615,hindi,Ariha Audio,0,0,1,1
