id,Channel,Partner_Provided,UGC,Channel_id,Label,AssetChannelID,Label2,CMS,client_youtube_shares
1245,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHASG,Channel to be confirmed,MMARIHASG,ND Music,30
1246,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHADD,Channel to be confirmed,MMARIHADD,ND Music,30
1247,Channel to be confirmed,SandeepGawargur,SandeepGawargurUGC,Channel to be confirmed,SSG,Channel to be confirmed,SSG,ND Music,30
1248,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAMJ,Channel to be confirmed,MMARIHAMJ,ND Music,30
1249,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMDZSP,Channel to be confirmed,MMDZSP,ND Music,30
1250,Channel to be confirmed,CymbalsArts,CymbalsArtsUGC,Channel to be confirmed,JOY,Channel to be confirmed,JOY,ND Music,30
1251,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAGS,Channel to be confirmed,MMARIHAGS,ND Music,30
1252,Rajlaxmi,TNDM-Rajlax,TNDM-RajlaxUGC,q_7HCsiy115mre6OBH_dAQ,TNDMRL,UCq_7HCsiy115mre6OBH_dAQ,TNDMRL,ND Music,30
1253,Channel to be confirmed,Vista,VistaUGC,Channel to be confirmed,VIST,Channel to be confirmed,VIST,ND Music,30
1254,HKC Music,HammadChaudhry,HammadChaudhryUGC,AWHZ6r6if9yniZqoEltGNg,HKCE,UCAWHZ6r6if9yniZqoEltGNg,HKCE,ND Music,30
