id,Channel,partner_provided,ugc,Channel_id,Label,assetChannelID,Label2,CMS,client_youtube_shares
3137,Channel to be confirmed,OzMediaAsia,OzMediaAsiaUGC,Channel to be confirmed,OZA,Channel to be confirmed,OZA,ND Music,30
3138,Channel to be confirmed,ParikramaTheBand,ParikramaTheBandUGC,Channel to be confirmed,PAR,Channel to be confirmed,PAR,ND Music,30
3139,Channel to be confirmed,SwamiRajkot,SwamiRajkotUGC,Channel to be confirmed,RKG,Channel to be confirmed,RKG,ND Music,30
3140,Channel to be confirmed,SplitMoonArts,SplitMoonArtsUGC,Channel to be confirmed,SMA,Channel to be confirmed,SMA,ND Music,30
3141,Channel to be confirmed,SonachiFilms,SonachiFilmsUGC,Channel to be confirmed,SOF,Channel to be confirmed,SOF,ND Music,30
3142,Channel to be confirmed,Suchtv,SuchtvUGC,Channel to be confirmed,SUTV,Channel to be confirmed,SUTV,ND Music,30
3143,Channel to be confirmed,VHunt,VHuntUGC,Channel to be confirmed,Vhunt,Channel to be confirmed,Vhunt,ND Music,30
3144,Channel to be confirmed,WaqtNews,WaqtNewsUGC,Channel to be confirmed,WATV,Channel to be confirmed,WATV,ND Music,30
3145,Channel to be confirmed,ChetanThakkar,ChetanThakkarUGC,Channel to be confirmed,CHT,Channel to be confirmed,CHT,ND Music,30
3146,Channel to be confirmed,Wochit,WochitUGC,Channel to be confirmed,WOC,Channel to be confirmed,WOC,ND Music,30
3147,Channel to be confirmed,SwaminarayanMandir,SwaminarayanMandirUGC,Channel to be confirmed,SWAMI,Channel to be confirmed,SWAMI,ND Music,30
3148,Channel to be confirmed,MobileMediaB2B,MobileMediaB2BUGC,Channel to be confirmed,MMB2B,Channel to be confirmed,MMB2B,ND Music,30
3149,Channel to be confirmed,Anis,AnisUGC,Channel to be confirmed,TKS,Channel to be confirmed,TKS,ND Music,30
3150,Channel to be confirmed,AVMPP,AVMUGC,Channel to be confirmed,AVM,Channel to be confirmed,AVM,ND Music,30
3151,Channel to be confirmed,SuratGurukul,SuratGurukulUGC,Channel to be confirmed,SGS,Channel to be confirmed,SGS,ND Music,30
3152,Channel to be confirmed,Tristar,TristarUGC,Channel to be confirmed,TRIS,Channel to be confirmed,TRIS,ND Music,30
3153,channel to be confirmed,rdc-sidhtv,rdc-sidhtvugc,channel to be confirmed,sidh,channel to be confirmed,sidh,nd kids,30
3154,Channel to be confirmed,VianetMedia,VianetMediaUGC,Channel to be confirmed,VMPL,Channel to be confirmed,VMPL,ND Music,30
3155,channel to be confirmed,koo-anm,koo-anmugc,channel to be confirmed,kooh,channel to be confirmed,kooh,nd kids,30
3156,Channel to be confirmed,NileshSB,NileshSBUGC,Channel to be confirmed,CHITRA,Channel to be confirmed,CHITRA,ND Music,30
3157,Channel to be confirmed,TeamFilm,TeamFilmUGC,Channel to be confirmed,TFB,Channel to be confirmed,TFB,ND Music,30
3158,channel to be confirmed,nhnew,nhnewugc,channel to be confirmed,nhs,channel to be confirmed,nhs,nd music,30
3159,Channel to be confirmed,SwamiKalupur,SwamiKalupurUGC,Channel to be confirmed,KALU,Channel to be confirmed,KALU,ND Music,30
3160,Channel to be confirmed,TahirHussain,TahirHussainUGC,Channel to be confirmed,TAH,Channel to be confirmed,TAH,ND Music,30
3161,Channel to be confirmed,Vedantavision,VedantavisionUGC,Channel to be confirmed,VED,Channel to be confirmed,VED,ND Music,30
3162,Channel to be confirmed,Dharmesh,DharmeshUGC,Channel to be confirmed,DMI,Channel to be confirmed,DMI,ND Music,30
3163,Channel to be confirmed,Digicell,DigicellUGC,Channel to be confirmed,DCMPL,Channel to be confirmed,DCMPL,ND Music,30
3164,Channel to be confirmed,AnshuPant,AnshuPantUGC,Channel to be confirmed,ANSU,Channel to be confirmed,ANSU,ND Music,30
3165,Channel to be confirmed,ShilpaShetty,ShilpaShettyUGC,Channel to be confirmed,DIGISS,Channel to be confirmed,DIGISS,ND Music,30
3166,Channel to be confirmed,LotusEnt,LotusEntUGC,Channel to be confirmed,LOTUS,Channel to be confirmed,LOTUS,ND Music,30
3167,Channel to be confirmed,RDC,RDCUGC,Channel to be confirmed,RDCMO,Channel to be confirmed,RDCMO,ND Music,30
3168,Channel to be confirmed,RDC,RDCUGC,Channel to be confirmed,RDCG,Channel to be confirmed,RDCG,ND Music,30
3169,Channel to be confirmed,GeetaPictures,GeetaPicturesUGC,Channel to be confirmed,NGP,Channel to be confirmed,NGP,ND Music,30
3170,Channel to be confirmed,CarnivalElec,CarnivalElecUGC,Channel to be confirmed,CRE,Channel to be confirmed,CRE,ND Music,30
3171,Channel to be confirmed,KooTVKids,KooTVKidsUGC,Channel to be confirmed,KOO,Channel to be confirmed,KOO,ND Music,30
3172,Channel to be confirmed,SarvamangalSwami,SarvamangalSwamiUGC,Channel to be confirmed,SVMS,Channel to be confirmed,SVMS,ND Music,30
3173,Channel to be confirmed,NDJ,NDJUGC,Channel to be confirmed,NDJ,Channel to be confirmed,NDJ,ND Music,30
3174,Channel to be confirmed,Jamar,JamarUGC,Channel to be confirmed,JAMAR,Channel to be confirmed,JAMAR,ND Music,30
3175,Channel to be confirmed,Sarodrcords,SarodrecordsUGC,Channel to be confirmed,SRD,Channel to be confirmed,SRD,ND Music,30
3176,Channel to be confirmed,Bullhornpictures,BullhornpicturesUGC,Channel to be confirmed,BUL,Channel to be confirmed,BUL,ND Music,30
3177,Channel to be confirmed,ShubhamAVPL,ShubhamAVPLUGC,Channel to be confirmed,SAVPL,Channel to be confirmed,SAVPL,ND Music,30
3178,channel to be confirmed,koo-ssoftoons,koo-ssoftoonsugc,channel to be confirmed,ksoft,channel to be confirmed,ksoft,nd kids,30
3179,Channel to be confirmed,RDC,RDCUGC,Channel to be confirmed,RDCJ,Channel to be confirmed,RDCJ,ND Music,30
3180,Channel to be confirmed,Devikasmusic,DevikasmusicUGC,Channel to be confirmed,DEV,Channel to be confirmed,DEV,ND Music,30
3181,Channel to be confirmed,Enter10-Bangla,Enter10-BanglaUGC,Channel to be confirmed,ENT10B,Channel to be confirmed,ENT10B,ND Music,30
3182,Channel to be confirmed,MaitriBodh,MaitriBodhUGC,Channel to be confirmed,MBP,Channel to be confirmed,MBP,ND Music,30
3183,Channel to be confirmed,AjayYadav,AjayYadavUGC,Channel to be confirmed,AJY,Channel to be confirmed,AJY,ND Music,30
3184,Channel to be confirmed,SearchPrecise,SearchPreciseUGC,Channel to be confirmed,SPC,Channel to be confirmed,SPC,ND Music,30
3185,Channel to be confirmed,overloadvideos,overloadvideosUGC,Channel to be confirmed,OLV,Channel to be confirmed,OLV,ND Music,30
3186,Channel to be confirmed,FilmKraft,FilmKraftUGC,Channel to be confirmed,DIGIFK,Channel to be confirmed,DIGIFK,ND Music,30
3187,Channel to be confirmed,TNDM-Rajlax,TNDM-RajlaxUGC,Channel to be confirmed,TNDMRL,Channel to be confirmed,TNDMRL,ND Music,30
3188,Channel to be confirmed,ShreyaEnt,ShreyaEntUGC,Channel to be confirmed,SHYENT,Channel to be confirmed,SHYENT,ND Music,30
3189,Channel to be confirmed,Prasun-Vedd,Prasun-VeddUGC,Channel to be confirmed,POTR,Channel to be confirmed,POTR,ND Music,30
3190,Channel to be confirmed,Playground,PlaygroundUGC,Channel to be confirmed,PGDC,Channel to be confirmed,PGDC,ND Music,30
3191,Channel to be confirmed,Virtumobile,VirtumobileUGC,Channel to be confirmed,RAM,Channel to be confirmed,RAM,ND Music,30
3192,Channel to be confirmed,AngadSingh,AngadSinghUGC,Channel to be confirmed,AGS,Channel to be confirmed,AGS,ND Music,30
3193,Channel to be confirmed,AjayChoudhary,AjayChoudharyUGC,Channel to be confirmed,AJYC,Channel to be confirmed,AJYC,ND Music,30
3194,Channel to be confirmed,ChaitaliChakraborty,ChaitaliChakrabortyUGC,Channel to be confirmed,CCBY,Channel to be confirmed,CCBY,ND Music,30
3195,Channel to be confirmed,ChandandeepSingh,ChandandeepSinghUGC,Channel to be confirmed,CND,Channel to be confirmed,CND,ND Music,30
