Content Type,Asset ID,Partner Revenue
UGC,A324978722472708,2.424095
UGC,A755483664541733,2.421068
UGC,A281880992140561,2.416193
UGC,A666404607317710,2.413414
UGC,A315294551959388,2.40049
UGC,A559591194084268,2.274373
UGC,A228056930301885,2.253713
UGC,A600971942417871,2.250128
UGC,A407705765338008,2.237932
UGC,A508489364568050,2.223823
UGC,A105414788220749,2.193567
UGC,A330652782031996,2.190817
UGC,A474386231045506,2.179312
UGC,A841172688634231,2.144153
UGC,A106285292723849,2.133863
UGC,A547042604955062,2.084063
UGC,A386935267477287,2.08218
UGC,A442940054274488,2.051907
UGC,A444208949592780,2.042717
UGC,A348160455587475,2.038668
UGC,A754627289988424,2.036963
UGC,A353070815890426,2.021415
UGC,A145120553509816,2.008733
UGC,A120667761620916,2.007848
UGC,A925884369170391,1.987859
UGC,A666433441983025,1.980677
UGC,A911177331457352,1.899493
UGC,A616844410617955,1.882686
UGC,A115018706085233,1.86019
UGC,A690850594071567,1.838478
UGC,A735040257911725,1.805425
UGC,A277574688868691,1.801314
UGC,A808199750564659,1.781523
UGC,A551123902788131,1.779181
UGC,A263116548480684,1.778645
UGC,A233742821693043,1.750072
UGC,A937045044365081,1.742238
UGC,A667381794807222,1.734574
UGC,A674295580704114,1.71875
UGC,A545961219629343,1.685714
UGC,A819363691143253,1.678345
UGC,A389220118908872,1.66879
UGC,A494667540379653,1.656192
UGC,A113364654887753,1.65515
UGC,A545369565138523,1.636809
UGC,A406164165161807,1.631346
UGC,A656784754960747,1.616483
UGC,A204987012182719,1.613185
UGC,A508179386288593,1.608932
UGC,A493603354419483,1.593646
UGC,A448745000091172,1.588097
UGC,A115124160774307,1.582192
UGC,A846584370056958,1.555322
UGC,A685980919823361,1.554431
UGC,A825029027904808,1.540366
UGC,A160113838962157,1.535636
UGC,A316587970202241,1.528406
UGC,A144358989486168,1.52773
UGC,A201072753713578,1.524998
UGC,A767514724269357,1.518562
UGC,A566532736305929,1.506072
UGC,A862507123198808,1.491687
UGC,A662399883574246,1.485022
UGC,A152329451107603,1.475563
UGC,A803085124698915,1.445462
UGC,A942285763780402,1.444601
UGC,A497609550800296,1.425978
UGC,A139101771756421,1.424021
UGC,A299365152389500,1.411278
UGC,A565872029281270,1.410238
UGC,A215909653276711,1.388084
UGC,A864410281011545,1.338903
UGC,A750962757669432,1.333663
UGC,A216904681926506,1.328107
UGC,A622623955403335,1.321547
UGC,A623934030274821,1.317842
UGC,A922780708621659,1.316617
UGC,A803221411541553,1.313339
UGC,A640294742954032,1.274078
UGC,A254122307767345,1.270264
UGC,A912653133404897,1.26804
UGC,A285014139525312,1.240728
UGC,A221694136335724,1.237783
UGC,A796678032876754,1.227699
UGC,A830615518805604,1.208144
UGC,A722941795652618,1.174216
UGC,A177053414430701,1.17114
UGC,A546246012125151,1.162939
UGC,A142521884101698,1.160438
UGC,A168552334608122,1.147549
UGC,A535376856485066,1.134376
UGC,A813786820220266,1.132377
UGC,A715656872998539,1.128767
UGC,A587167831412184,1.123597
UGC,A266659896824473,1.111698
UGC,A518857839577497,1.10839
UGC,A561004475004187,1.10554
UGC,A537281220990688,1.083379
UGC,A305047994403686,1.071984
UGC,A630550413628038,1.069813
UGC,A721068338958920,1.066301
UGC,A582165338380371,1.061794
UGC,A138605829761600,1.058623
UGC,A545270921609054,1.056837
UGC,A113809545781817,1.053962
UGC,A145939638622717,1.050601
UGC,A928426852024937,1.040406
UGC,A106531704499810,1.037813
UGC,A807213882374925,1.036836
UGC,A456447404782432,1.034355
UGC,A847323285737088,1.030291
UGC,A243019438783859,1.018508
UGC,A954405895435453,1.018393
UGC,A175997712611681,1.016572
UGC,A263759338831322,0.992578
UGC,A153749273331220,0.98202
UGC,A706693330094586,0.979374
UGC,A718354303777191,0.977933
UGC,A171967381022680,0.975276
UGC,A960992291136950,0.972183
