Video Claim Raw Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Type,Country,Day,Video ID,Video Channel ID,Asset ID,Asset Channel ID,Asset Title,Asset Labels,Asset Type,Custom ID,ISRC,UPC,GRID,Artist,Album,Label,Claim Type,Content Type,Offer,Owned Views,Monetized Views : Audio,Monetized Views : Audio Visual,Monetized Views,YouTube Revenue Split,Partner Revenue : Pro Rata,Partner Revenue : Per Sub Min,Partner Revenue
None,AE,20210201,21qWzyROvNU,mJ-mxyOZH4aDQN0nDOrMTw,A261684340929785,,Curiousity Freedom Superstar,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001007,INV772001007,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Music Individual monthly,1,0,1,1,0.006194,0.003407,0.003583,0.003583
None,AE,20210201,2Afa45y9pZM,si4QwYvZDpnzEy2ug-4AtQ,A663836319095454,,06  JIJA JI HO JIJA JI DIDI KE SAJANWAN,"CC_EXCLUSION_DISTRIBUTOR_ONLY,NAV",Sound Recording,INH150900101,INH150900101,6.09207E+11,,Nalin Varma,TARASAWATIYA,Hreem Sangeet,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,2M5jLCrunN8,K47S4lcvEoN__hPB4sICmg,A261684340929785,,Curiousity Freedom Superstar,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001007,INV772001007,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Individual monthly,1,1,0,1,0.004932,0.002713,0.005836,0.005836
None,AE,20210201,2QAwtyH_TAg,jT4T_n_J5zcJSC_P9gBHAw,A516195475024430,jT4T_n_J5zcJSC_P9gBHAw,MOHAN MURALIDHARA,,Art Track,INS641200384,INS641200384,7.11099E+11,,SACHIN LIMAYE,,The Art Of Living,Audio-Visual,Partner-provided,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,2UmXe838n3k,Qc7fRXUesOrbMhOozrv7Lg,A436467330223082,aMbHL_q0huzBW__7ud6mQw,BALAM FOUJI MOV 4K WITH LOGO,NDJ,Music Video,1OiBtF30OVI,,,,,,,Audio-Visual,UGC,YouTube Premium Individual monthly,1,0,1,1,0.004932,0.002713,0.005836,0.005836
None,AE,20210201,2ZULsxxG5HI,5CTMqvR2wBYXF95OzJJqmg,A244244887435130,,Purani Ishq Kahani,VCOI,Sound Recording,INV772001014,INV772001014,6.16968E+11,,Vikram Kohlewala,Purani Ishq Kahani,Jhankar Musicals Studio,Audio,UGC,YouTube Premium Individual monthly,1,0,0,0,0,0,0,0
None,AE,20210201,2ZULsxxG5HI,5CTMqvR2wBYXF95OzJJqmg,A603177631890547,,Eye Liner,VCOI,Sound Recording,INV772001017,INV772001017,6.16968E+11,,Harsh Virk,Eye Liner,Jhankar Musicals Studio,Audio,UGC,YouTube Premium Individual monthly,1,0,0,0,0,0,0,0
None,AE,20210201,2ZULsxxG5HI,5CTMqvR2wBYXF95OzJJqmg,A788316635509180,,Ab Nahi Lagna,VCOI,Sound Recording,INV772001015,INV772001015,6.16968E+11,,Nikhil Mittal,Ab Nahi Lagna,Jhankar Musicals Studio,Audio,UGC,YouTube Premium Individual monthly,1,0,0,0,0,0,0,0
None,AE,20210201,2ZULsxxG5HI,5CTMqvR2wBYXF95OzJJqmg,A860648982109557,,Jaan Teri,TNDMAC,Sound Recording,INA331100727,INA331100727,8.48797E+11,,Miss Pooja,Best Free Styles Vol 2,Anand  Music,Audio,UGC,YouTube Premium Individual monthly,1,0,0,0,0,0,0,0
None,AE,20210201,2ZULsxxG5HI,5CTMqvR2wBYXF95OzJJqmg,A923443058869090,,Ek Request,VCOI,Sound Recording,INV772001016,INV772001016,6.16968E+11,,SK Chalia,Ek Request,Jhankar Musicals Studio,Audio,UGC,YouTube Premium Individual monthly,1,0,0,0,0,0,0,0
